Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,57.10,57.10,56.15,56.21,1916200,56.21
2013-12-31,57.45,57.55,57.08,57.19,941400,57.19
2013-12-30,57.05,57.46,56.92,57.32,1128000,57.32
2013-12-27,57.23,57.42,57.12,57.17,653100,57.17
2013-12-26,57.24,57.71,57.24,57.46,714400,57.33
2013-12-24,57.50,57.61,57.17,57.23,779700,57.10
2013-12-23,57.45,57.66,57.12,57.54,1578500,57.41
2013-12-20,57.47,57.67,56.91,56.96,2954000,56.83
2013-12-19,57.57,57.83,57.07,57.38,1893200,57.25
2013-12-18,56.50,57.94,56.37,57.89,4136300,57.76
2013-12-17,55.96,57.29,55.81,56.37,3208000,56.24
2013-12-16,55.25,55.79,55.07,55.24,1685500,55.11
2013-12-13,55.36,55.90,54.90,55.16,2022600,55.03
2013-12-12,54.63,55.52,54.30,55.26,2714300,55.13
2013-12-11,55.35,55.69,54.68,54.84,2344600,54.71
2013-12-10,54.91,55.46,54.63,55.34,2326900,55.21
2013-12-09,54.80,55.43,54.74,55.06,2118500,54.93
2013-12-06,53.76,54.93,53.76,54.83,3053300,54.70
2013-12-05,53.35,53.80,53.12,53.50,1810400,53.38
2013-12-04,52.84,53.83,52.72,53.58,2415800,53.46
