Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,10.53,10.58,10.31,10.53,22291900,10.53
2013-12-31,10.55,10.70,10.53,10.63,10613900,10.63
2013-12-30,10.68,10.77,10.51,10.53,14515700,10.53
2013-12-27,10.40,10.70,10.40,10.69,18986100,10.69
2013-12-26,10.38,10.49,10.33,10.43,12199800,10.43
2013-12-24,10.20,10.40,10.18,10.36,14292100,10.36
2013-12-23,9.99,10.17,9.95,10.13,17729200,10.13
2013-12-20,10.01,10.08,9.92,9.94,19208800,9.94
2013-12-19,9.79,10.05,9.77,9.97,24727400,9.97
2013-12-18,9.70,9.86,9.66,9.83,26156000,9.83
2013-12-17,9.55,9.75,9.51,9.70,22101200,9.70
2013-12-16,9.54,9.62,9.51,9.57,16882700,9.57
2013-12-13,9.36,9.51,9.34,9.51,20909900,9.51
2013-12-12,9.31,9.44,9.29,9.37,15080800,9.37
2013-12-11,9.61,9.61,9.31,9.34,17187500,9.34
2013-12-10,9.47,9.62,9.46,9.56,16886600,9.56
2013-12-09,9.40,9.52,9.38,9.48,15874500,9.48
2013-12-06,9.44,9.48,9.35,9.36,16862500,9.36
2013-12-05,9.36,9.40,9.31,9.35,21364000,9.35
2013-12-04,9.35,9.52,9.33,9.36,29955200,9.36
