Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,555.68,557.03,552.02,553.13,8381600,553.13
2013-12-31,554.17,561.28,554.00,561.02,7967300,561.02
2013-12-30,557.46,560.09,552.32,554.52,9044500,554.52
2013-12-27,563.82,564.41,559.50,560.09,8056500,560.09
2013-12-26,568.10,569.50,563.38,563.90,7272500,563.90
2013-12-24,569.89,571.88,566.03,567.67,5984100,567.67
2013-12-23,568.00,570.72,562.76,570.09,17870600,570.09
2013-12-20,545.43,551.61,544.82,549.02,15548100,549.02
2013-12-19,549.50,550.00,543.73,544.46,11439600,544.46
2013-12-18,549.70,551.45,538.80,550.77,20180200,550.77
2013-12-17,555.81,559.44,553.38,554.99,8163900,554.99
2013-12-16,555.02,562.64,555.01,557.50,10078600,557.50
2013-12-13,562.85,562.88,553.67,554.43,11856400,554.43
2013-12-12,562.14,565.34,560.03,560.54,9354200,560.54
2013-12-11,567.00,570.97,559.69,561.36,12766600,561.36
2013-12-10,563.58,567.88,561.20,565.55,9873100,565.55
2013-12-09,560.90,569.58,560.90,566.43,11423600,566.43
2013-12-06,565.79,566.75,559.57,560.02,12274700,560.02
2013-12-05,572.65,575.14,566.41,567.90,15952100,567.90
2013-12-04,565.50,569.19,560.82,565.00,13478200,565.00
