Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,52.12,52.33,51.52,51.98,4569100,51.98
2013-12-31,52.99,53.06,52.36,52.81,3019700,52.81
2013-12-30,52.73,53.03,52.60,53.01,2898800,53.01
2013-12-27,52.92,53.05,52.38,52.55,2354100,52.55
2013-12-26,52.59,53.06,52.34,52.99,2401500,52.99
2013-12-24,52.78,52.79,52.28,52.36,1747000,52.36
2013-12-23,52.73,52.94,52.24,52.58,4957700,52.58
2013-12-20,52.77,53.01,52.29,52.59,12471800,52.59
2013-12-19,53.21,53.21,52.02,52.63,8383400,52.63
2013-12-18,52.78,54.43,52.22,54.32,9635600,54.32
2013-12-17,53.43,53.92,53.00,53.63,7987300,53.63
2013-12-16,53.42,54.78,52.98,53.37,9846300,53.37
2013-12-13,52.30,52.60,51.84,52.37,6465300,52.37
2013-12-12,52.56,52.62,51.80,52.39,7766400,52.39
2013-12-11,52.67,53.25,52.02,52.67,10751900,52.67
2013-12-10,51.25,54.13,50.72,52.14,14906900,52.14
2013-12-09,51.45,51.81,50.77,51.21,5470800,51.21
2013-12-06,50.17,51.50,50.05,51.35,7285800,51.35
2013-12-05,49.42,50.07,49.05,49.76,5449100,49.76
2013-12-04,49.75,50.29,49.30,49.67,5309200,49.67
