Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,70.11,70.23,69.48,69.89,1148400,69.89
2013-12-31,70.52,70.64,70.09,70.31,627100,70.31
2013-12-30,70.25,70.52,70.01,70.38,642200,70.38
2013-12-27,70.45,70.45,69.83,70.21,897700,70.21
2013-12-26,70.25,70.63,70.01,70.30,640500,70.30
2013-12-24,70.01,70.42,69.94,70.14,417900,70.14
2013-12-23,70.13,70.27,69.77,70.03,1124700,70.03
2013-12-20,69.61,70.24,69.56,69.82,2221000,69.82
2013-12-19,69.37,69.75,69.17,69.63,1964900,69.63
2013-12-18,68.60,69.67,68.16,69.61,1727100,69.61
2013-12-17,68.72,68.76,68.04,68.35,1700300,68.35
2013-12-16,68.84,69.14,68.14,68.45,1753800,68.45
2013-12-13,68.81,68.96,67.74,68.45,1849400,68.45
2013-12-12,69.20,69.56,68.69,68.77,2192600,68.77
2013-12-11,69.67,69.98,68.74,68.80,1972000,68.80
2013-12-10,70.11,70.14,68.75,69.77,3159700,69.77
2013-12-09,70.47,71.21,70.25,70.63,1460400,70.63
2013-12-06,69.88,70.36,69.60,70.29,1299100,70.29
2013-12-05,69.24,69.61,68.88,69.14,2130300,69.14
2013-12-04,70.35,70.82,68.78,69.46,2574900,69.46
