Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,38.09,38.40,38.00,38.23,4967500,38.23
2013-12-31,38.38,38.57,38.22,38.33,4594200,38.33
2013-12-30,38.48,38.50,38.17,38.41,3081600,38.41
2013-12-27,38.52,38.53,38.23,38.37,2705600,38.37
2013-12-26,38.22,38.49,38.20,38.35,3655800,38.35
2013-12-24,38.36,38.45,38.11,38.19,2207600,38.19
2013-12-23,37.97,38.55,37.95,38.44,6313200,38.44
2013-12-20,38.14,38.24,37.81,37.84,8140800,37.84
2013-12-19,38.08,38.23,37.78,38.03,7756400,38.03
2013-12-18,36.66,38.18,36.65,38.12,11548800,38.12
2013-12-17,36.45,36.64,36.31,36.61,6911800,36.61
2013-12-16,36.45,36.81,36.32,36.53,6704900,36.53
2013-12-13,36.38,36.61,36.30,36.40,4665200,36.40
2013-12-12,36.57,36.63,36.27,36.29,6417300,36.29
2013-12-11,37.00,37.10,36.52,36.58,6156800,36.58
2013-12-10,37.11,37.34,36.96,37.11,5381300,37.11
2013-12-09,37.57,37.58,37.16,37.20,4972400,37.20
2013-12-06,37.27,37.54,37.17,37.53,4055000,37.53
2013-12-05,37.29,37.32,36.89,36.92,5289800,36.92
2013-12-04,37.35,37.85,37.08,37.36,5092700,37.36
