Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,81.50,81.92,81.09,81.13,2405400,81.13
2013-12-31,81.68,82.46,81.48,82.22,2113800,82.22
2013-12-30,81.71,82.20,80.68,82.06,2551900,82.06
2013-12-27,82.46,83.45,82.43,82.51,2466200,82.51
2013-12-26,81.47,82.53,81.23,82.15,2399200,82.15
2013-12-24,80.86,81.39,80.65,81.31,1564700,81.31
2013-12-23,80.51,81.70,79.98,81.55,4405000,81.55
2013-12-20,79.72,80.98,79.60,80.55,6782700,80.55
2013-12-19,77.52,79.95,77.49,79.51,10933800,79.51
2013-12-18,74.15,75.80,74.15,75.62,6325600,75.62
2013-12-17,74.53,74.79,73.96,74.00,4082900,74.00
2013-12-16,74.09,74.86,74.09,74.62,4172100,74.62
2013-12-13,74.27,74.62,73.79,73.94,2841400,73.94
2013-12-12,74.42,74.87,74.04,74.08,3266300,74.08
2013-12-11,75.51,76.00,74.28,74.40,3000800,74.40
2013-12-10,75.11,75.69,74.37,75.41,2350700,75.41
2013-12-09,75.64,75.98,75.01,75.13,2434400,75.13
2013-12-06,75.97,76.22,75.17,75.53,3259400,75.53
2013-12-05,76.14,76.29,75.63,75.79,2197300,75.79
2013-12-04,75.50,76.35,75.14,76.07,3550500,76.07
