Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,49.52,49.75,49.04,49.28,2799000,49.28
2013-12-31,51.00,51.20,50.70,50.93,857000,50.93
2013-12-30,50.51,50.90,50.51,50.85,918400,50.85
2013-12-27,50.77,50.93,50.63,50.70,631000,50.70
2013-12-26,50.84,50.91,50.56,50.74,688700,50.74
2013-12-24,50.37,50.84,50.35,50.63,710000,50.63
2013-12-23,50.23,50.63,50.05,50.62,1873100,50.62
2013-12-20,49.63,50.26,49.45,50.01,2828400,50.01
2013-12-19,49.77,49.77,49.09,49.66,1589500,49.66
2013-12-18,48.90,49.78,48.63,49.78,1771600,49.78
2013-12-17,48.64,49.00,48.54,48.94,1419600,48.94
2013-12-16,48.50,48.84,48.39,48.74,1536300,48.74
2013-12-13,48.41,48.43,48.02,48.41,1831800,48.41
2013-12-12,48.73,48.87,48.01,48.11,2107200,48.11
2013-12-11,49.01,49.21,48.61,48.67,1376900,48.67
2013-12-10,48.85,49.22,48.72,48.91,1485100,48.91
2013-12-09,49.50,49.59,48.90,49.01,1563300,49.01
2013-12-06,49.39,49.50,48.92,49.27,2217900,49.27
2013-12-05,48.78,48.97,48.58,48.82,2226300,48.82
2013-12-04,49.16,49.36,48.47,48.77,2455100,48.77
