Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,43.22,43.29,42.79,42.99,2753700,42.99
2013-12-31,43.77,43.91,43.24,43.40,2203500,43.40
2013-12-30,43.90,43.99,43.43,43.69,2454500,43.69
2013-12-27,43.66,43.96,43.51,43.76,2516700,43.76
2013-12-26,43.32,43.80,43.24,43.65,2370600,43.65
2013-12-24,43.16,43.49,43.07,43.27,1083900,43.27
2013-12-23,43.54,43.76,42.86,43.04,3777300,43.04
2013-12-20,43.82,43.94,43.19,43.36,7136300,43.36
2013-12-19,43.02,43.83,42.77,43.79,6515400,43.79
2013-12-18,41.67,43.16,41.44,43.14,7328500,43.14
2013-12-17,40.75,41.61,40.72,41.48,5928100,41.48
2013-12-16,40.44,41.38,40.35,40.66,6404700,40.66
2013-12-13,40.64,40.69,40.15,40.34,3998700,40.34
2013-12-12,41.71,41.72,40.49,40.59,5148200,40.59
2013-12-11,42.35,42.35,41.63,41.71,4070500,41.71
2013-12-10,42.35,42.51,41.63,42.36,4608800,42.36
2013-12-09,41.93,42.50,41.75,42.48,4286700,42.48
2013-12-06,41.87,42.10,41.52,41.94,3080200,41.94
2013-12-05,41.70,41.72,41.20,41.47,3268600,41.47
2013-12-04,40.89,41.92,40.75,41.73,4485200,41.73
