Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,262.44,262.68,258.78,262.34,547800,262.34
2013-12-31,260.99,264.31,260.50,262.93,580800,262.93
2013-12-30,257.47,260.60,256.74,260.05,468800,260.05
2013-12-27,256.16,259.36,256.00,258.15,457100,258.15
2013-12-26,255.72,258.26,253.18,255.30,436000,255.30
2013-12-24,255.46,256.07,252.26,254.22,335000,254.22
2013-12-23,252.00,259.42,251.87,255.87,869000,255.87
2013-12-20,251.05,256.77,250.50,250.50,5801700,250.50
2013-12-19,252.34,255.38,250.09,251.00,711200,251.00
2013-12-18,248.97,254.40,246.59,254.17,614800,254.17
2013-12-17,254.40,254.40,243.03,248.12,768900,248.12
2013-12-16,252.55,255.54,248.16,248.64,780700,248.64
2013-12-13,245.97,250.96,244.75,250.87,806800,250.87
2013-12-12,248.00,248.27,240.40,245.97,1134500,245.97
2013-12-11,248.38,249.51,243.31,243.70,488200,243.70
2013-12-10,245.85,250.91,245.85,247.28,493200,247.28
2013-12-09,248.97,250.81,245.60,245.84,490800,245.84
2013-12-06,242.90,249.58,242.07,248.70,615000,248.70
2013-12-05,240.00,242.18,239.44,241.42,299700,241.42
2013-12-04,238.91,241.68,238.49,241.09,342800,241.09
