Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,49.33,49.74,48.88,49.25,2488000,49.25
2013-12-31,49.79,50.50,49.61,50.32,2002300,50.32
2013-12-30,49.60,49.79,49.07,49.58,909900,49.58
2013-12-27,49.61,49.90,49.39,49.54,1206100,49.54
2013-12-26,49.63,49.85,49.36,49.39,1499200,49.39
2013-12-24,49.35,49.73,49.18,49.70,852500,49.70
2013-12-23,49.31,49.53,49.07,49.46,1854700,49.46
2013-12-20,48.10,49.22,47.84,49.19,5075500,49.19
2013-12-19,48.13,48.45,47.89,48.05,1617200,48.05
2013-12-18,47.34,48.30,46.60,48.27,2921000,48.27
2013-12-17,47.19,47.71,47.00,47.50,2172000,47.50
2013-12-16,47.71,48.00,47.17,47.19,2471800,47.19
2013-12-13,45.99,48.39,45.80,47.74,5599300,47.74
2013-12-12,45.85,46.17,45.25,45.51,3244300,45.51
2013-12-11,46.94,47.05,45.64,45.75,3141000,45.75
2013-12-10,46.29,46.98,46.26,46.79,2518500,46.79
2013-12-09,45.80,46.85,45.75,46.78,2023800,46.78
2013-12-06,46.56,46.57,46.16,46.42,2032700,46.42
2013-12-05,46.18,46.56,45.81,45.94,2270100,45.94
2013-12-04,45.81,46.47,45.58,46.29,2598700,46.29
