Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,40.40,40.60,39.38,39.62,3834400,39.62
2013-12-31,40.59,40.85,40.17,40.47,2587900,40.47
2013-12-30,41.15,41.39,40.43,40.58,1985300,40.58
2013-12-27,40.89,41.26,40.88,41.15,2162900,41.15
2013-12-26,40.20,41.03,40.19,40.94,2475400,40.94
2013-12-24,39.97,40.22,39.97,40.16,548000,40.16
2013-12-23,39.78,40.10,39.72,40.01,2000400,40.01
2013-12-20,40.15,40.15,39.43,39.69,3475000,39.69
2013-12-19,40.20,40.43,39.89,39.95,2110000,39.95
2013-12-18,39.60,40.24,39.28,40.15,4132500,40.15
2013-12-17,39.67,40.00,39.46,39.50,2348000,39.50
2013-12-16,38.99,39.62,38.94,39.51,3671000,39.51
2013-12-13,39.19,39.28,38.40,38.80,4722600,38.80
2013-12-12,39.60,39.75,39.17,39.25,3188700,39.25
2013-12-11,39.85,40.45,39.54,39.70,2339300,39.70
2013-12-10,39.71,40.08,39.31,39.82,3608500,39.82
2013-12-09,40.53,40.94,39.62,39.69,3518100,39.69
2013-12-06,41.03,41.63,40.42,40.52,3388700,40.52
2013-12-05,40.47,40.88,40.28,40.74,2443000,40.74
2013-12-04,40.30,41.12,40.15,40.63,1941700,40.63
