Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,36.05,36.11,35.47,35.53,1394300,35.53
2013-12-31,36.25,36.33,36.07,36.16,1051300,36.16
2013-12-30,35.92,36.21,35.89,36.14,872000,36.14
2013-12-27,35.94,36.10,35.76,36.00,656000,36.00
2013-12-26,36.10,36.18,35.80,35.95,767600,35.95
2013-12-24,35.86,36.14,35.67,36.04,373500,36.04
2013-12-23,36.28,36.44,35.80,35.86,1715600,35.86
2013-12-20,35.88,36.43,35.86,36.15,3266300,36.15
2013-12-19,35.80,35.85,35.37,35.79,1706100,35.79
2013-12-18,35.26,35.96,34.84,35.90,1906000,35.90
2013-12-17,35.23,35.46,35.11,35.25,1365300,35.25
2013-12-16,35.07,35.43,35.07,35.25,2542800,35.25
2013-12-13,35.22,35.24,34.92,35.02,1489400,35.02
2013-12-12,34.77,35.34,34.71,35.12,2299700,35.12
2013-12-11,35.29,35.38,34.78,34.81,1512600,34.81
2013-12-10,35.69,35.78,35.20,35.24,2581100,35.24
2013-12-09,36.04,36.16,35.65,35.72,1956900,35.72
2013-12-06,36.28,36.64,35.91,36.44,1790400,36.04
2013-12-05,36.41,36.50,36.02,36.09,1704900,35.69
2013-12-04,36.11,36.59,35.97,36.55,1427400,36.15
