Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,14.51,14.56,14.19,14.27,3987200,14.27
2013-12-31,14.45,14.55,14.39,14.51,2330800,14.51
2013-12-30,14.48,14.52,14.28,14.46,4131800,14.46
2013-12-27,14.51,14.60,14.36,14.45,2515100,14.45
2013-12-26,14.47,14.64,14.45,14.46,2892100,14.46
2013-12-24,14.36,14.53,14.23,14.47,1851900,14.47
2013-12-23,14.37,14.49,14.34,14.39,4803000,14.39
2013-12-20,14.17,14.41,14.14,14.32,9718700,14.32
2013-12-19,14.14,14.24,14.03,14.12,5860800,14.12
2013-12-18,14.05,14.27,13.81,14.21,7681100,14.21
2013-12-17,13.99,14.06,13.84,13.94,6803400,13.94
2013-12-16,13.82,14.11,13.75,13.96,9762600,13.96
2013-12-13,13.53,13.95,13.49,13.68,37696900,13.68
2013-12-12,14.02,14.27,13.77,13.85,14098500,13.85
2013-12-11,14.47,14.57,14.28,14.32,5370500,14.32
2013-12-10,14.69,14.75,14.44,14.49,5185500,14.49
2013-12-09,15.04,15.06,14.67,14.71,4751100,14.71
2013-12-06,14.88,15.14,14.78,15.02,7457300,15.02
2013-12-05,15.26,15.29,14.68,14.74,11045800,14.74
2013-12-04,14.83,15.54,14.73,15.31,13164800,15.31
