Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,66.63,66.69,65.81,65.96,1914700,65.96
2013-12-31,66.87,67.01,66.58,66.80,1210100,66.80
2013-12-30,67.25,67.62,66.65,66.69,1950600,66.69
2013-12-27,67.15,67.38,66.87,67.25,990300,67.25
2013-12-26,66.41,67.43,66.32,67.11,1313400,67.11
2013-12-24,66.23,66.54,66.15,66.48,884100,66.48
2013-12-23,66.09,66.60,65.99,66.35,2238300,66.35
2013-12-20,65.92,66.50,65.55,65.65,4240400,65.65
2013-12-19,66.24,66.40,65.90,66.00,2466100,66.00
2013-12-18,66.27,66.68,65.47,66.59,3184700,66.59
2013-12-17,66.37,66.44,65.87,66.01,1446700,66.01
2013-12-16,66.18,66.62,65.97,66.36,1451900,66.36
2013-12-13,65.92,66.25,65.61,65.96,1316300,65.96
2013-12-12,65.82,65.99,65.54,65.64,2286000,65.64
2013-12-11,66.25,66.25,65.59,65.72,1899900,65.72
2013-12-10,66.22,66.39,66.00,66.27,1694000,66.27
2013-12-09,66.58,66.81,66.24,66.45,1692400,66.45
2013-12-06,66.42,66.73,66.11,66.64,1460100,66.64
2013-12-05,65.45,66.35,65.35,65.70,1938900,65.70
2013-12-04,65.52,66.14,65.22,65.71,1674600,65.71
