Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,66.04,66.19,65.15,65.32,375500,65.32
2013-12-31,66.36,66.69,66.20,66.37,275800,66.37
2013-12-30,66.10,66.44,65.82,66.23,252200,66.23
2013-12-27,66.51,66.69,65.77,66.08,223800,66.08
2013-12-26,66.50,66.73,66.02,66.29,230000,66.29
2013-12-24,66.11,66.47,65.82,66.25,179700,66.25
2013-12-23,66.13,66.37,65.50,65.94,574100,65.94
2013-12-20,65.52,66.24,65.13,65.74,1315900,65.74
2013-12-19,65.29,65.62,64.83,65.17,494500,65.17
2013-12-18,64.85,65.46,63.60,65.35,799500,65.35
2013-12-17,64.67,64.96,64.18,64.51,537200,64.51
2013-12-16,64.69,65.03,64.28,64.80,508100,64.80
2013-12-13,64.57,64.57,63.68,64.25,374100,64.25
2013-12-12,64.41,64.75,64.15,64.37,556900,64.37
2013-12-11,65.31,65.56,64.26,64.45,1015600,64.45
2013-12-10,64.98,65.70,64.92,65.21,618900,65.21
2013-12-09,65.05,65.72,64.91,65.21,648100,65.21
2013-12-06,64.55,65.43,64.49,65.33,968700,65.33
2013-12-05,64.29,64.29,63.08,63.78,958300,63.78
2013-12-04,64.51,65.55,63.66,64.42,898100,64.42
