Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,47.11,47.18,46.42,46.53,935100,46.53
2013-12-31,46.98,47.41,46.89,47.18,990600,47.18
2013-12-30,46.97,47.23,46.58,46.94,1226500,46.94
2013-12-27,47.31,47.43,46.74,46.88,1399300,46.88
2013-12-26,47.90,47.97,46.91,47.30,1180100,47.30
2013-12-24,47.43,47.74,47.34,47.73,591100,47.73
2013-12-23,47.70,47.90,47.06,47.51,1741900,47.51
2013-12-20,46.81,47.90,46.63,47.70,3841600,47.70
2013-12-19,46.52,46.71,46.24,46.60,1998000,46.60
2013-12-18,45.61,46.79,45.39,46.55,3887900,46.55
2013-12-17,45.37,45.84,45.22,45.58,1103400,45.58
2013-12-16,45.82,45.86,45.02,45.39,2056800,45.39
2013-12-13,44.13,45.88,44.10,45.72,3620000,45.72
2013-12-12,44.35,44.60,43.74,43.76,2355600,43.76
2013-12-11,45.10,45.38,44.41,44.44,1819000,44.44
2013-12-10,44.27,45.36,44.04,45.01,2931800,45.01
2013-12-09,43.99,44.85,43.81,44.35,3802000,44.35
2013-12-06,45.68,45.74,44.55,44.95,2184100,44.95
2013-12-05,45.91,45.91,44.76,45.12,2563700,45.12
2013-12-04,45.33,46.55,45.20,45.86,3379900,45.86
