Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,54.09,54.45,53.50,53.55,1909100,53.55
2013-12-31,54.32,54.60,54.20,54.54,1562200,54.54
2013-12-30,53.68,54.33,53.64,54.23,2375700,54.23
2013-12-27,53.79,53.95,53.46,53.65,1886300,53.65
2013-12-26,54.03,54.07,53.66,53.77,1297100,53.77
2013-12-24,53.69,53.97,53.64,53.97,692600,53.97
2013-12-23,54.00,54.07,53.61,53.70,1816900,53.70
2013-12-20,53.08,54.05,53.08,53.77,5598000,53.77
2013-12-19,52.45,53.33,52.33,53.25,3017300,53.25
2013-12-18,52.50,52.75,51.75,52.74,3144900,52.74
2013-12-17,52.70,52.75,52.00,52.18,2275000,52.18
2013-12-16,53.19,53.22,52.67,52.83,1830500,52.83
2013-12-13,52.91,53.28,52.73,52.81,1535500,52.81
2013-12-12,52.96,53.19,52.76,52.79,2065600,52.79
2013-12-11,53.78,53.98,52.97,53.07,2710500,53.07
2013-12-10,53.91,54.21,53.78,53.78,1371700,53.78
2013-12-09,54.05,54.45,54.05,54.11,1586600,54.11
2013-12-06,53.98,54.46,53.95,54.32,1881500,54.32
2013-12-05,53.46,53.71,53.17,53.40,2607900,53.40
2013-12-04,53.29,53.82,53.03,53.57,2502100,53.57
