Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,44.08,44.18,43.27,43.65,992900,43.65
2013-12-31,44.23,44.50,43.76,44.19,874200,44.19
2013-12-30,44.45,44.88,44.00,44.12,381500,44.12
2013-12-27,44.77,44.97,44.09,44.64,393300,44.64
2013-12-26,44.86,45.01,44.44,44.70,513200,44.70
2013-12-24,44.76,45.02,44.25,44.58,304700,44.58
2013-12-23,44.17,44.85,43.55,44.65,773600,44.65
2013-12-20,44.30,44.45,43.91,44.26,2878600,44.26
2013-12-19,43.96,44.50,43.82,44.45,593000,44.45
2013-12-18,43.65,44.50,43.10,44.27,1225200,44.27
2013-12-17,43.43,44.00,43.16,43.75,1396700,43.75
2013-12-16,43.01,43.99,42.11,43.69,1953900,43.69
2013-12-13,42.92,43.80,42.92,43.25,683800,43.25
2013-12-12,42.01,43.10,42.00,42.97,1770500,42.97
2013-12-11,42.32,43.02,42.00,42.46,3367300,42.46
2013-12-10,41.07,42.84,41.04,42.56,3289400,42.56
2013-12-09,40.70,41.27,40.24,41.18,3074000,41.18
2013-12-06,40.75,41.06,40.64,40.70,4662300,40.70
2013-12-05,42.28,42.28,40.63,41.05,3380500,41.05
2013-12-04,42.43,42.61,41.65,41.83,2777700,41.83
