Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,31.93,32.33,31.79,32.02,3429800,32.02
2013-12-31,32.58,32.58,32.36,32.51,1688100,32.51
2013-12-30,32.33,32.56,32.21,32.44,1327500,32.44
2013-12-27,32.27,32.44,32.15,32.39,1341100,32.39
2013-12-26,31.87,32.30,31.87,32.18,918900,32.18
2013-12-24,31.91,32.17,31.91,32.10,903200,32.10
2013-12-23,31.65,32.14,31.64,31.98,2145100,31.98
2013-12-20,31.37,31.67,31.32,31.50,4273700,31.50
2013-12-19,31.53,31.75,31.14,31.26,3397400,31.26
2013-12-18,31.58,31.93,31.30,31.84,4120900,31.84
2013-12-17,31.03,31.76,31.03,31.58,3088500,31.58
2013-12-16,30.99,31.30,30.92,31.11,3504000,31.11
2013-12-13,31.22,31.40,30.73,30.83,3489500,30.83
2013-12-12,31.26,31.50,31.07,31.09,3582200,31.09
2013-12-11,31.42,31.49,31.08,31.10,3165000,31.10
2013-12-10,31.62,31.80,31.34,31.41,3887300,31.41
2013-12-09,32.19,32.35,31.83,31.85,3153100,31.85
2013-12-06,32.23,32.41,32.00,32.12,2553500,32.12
2013-12-05,31.96,32.06,31.73,31.86,2872200,31.86
2013-12-04,31.79,32.38,31.54,31.97,3684400,31.97
