Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,132.46,133.82,130.54,133.44,760200,133.44
2013-12-31,133.06,133.48,131.22,132.88,455600,132.88
2013-12-30,131.72,133.04,130.15,132.70,685100,132.70
2013-12-27,133.47,133.47,131.01,131.57,652700,131.57
2013-12-26,132.00,133.75,130.01,132.91,531000,132.91
2013-12-24,130.81,131.99,129.47,131.06,319800,131.06
2013-12-23,131.38,132.44,130.12,130.90,901500,130.90
2013-12-20,131.48,131.68,128.52,130.64,2245600,130.64
2013-12-19,129.24,131.11,126.08,130.75,1523200,130.75
2013-12-18,123.51,128.90,122.69,128.65,1986900,128.65
2013-12-17,123.31,124.12,121.44,123.06,1342000,123.06
2013-12-16,124.14,125.38,122.02,123.78,990400,123.78
2013-12-13,124.33,124.62,122.10,123.69,1341800,123.69
2013-12-12,120.99,123.42,120.87,122.35,1039000,122.35
2013-12-11,124.55,125.48,121.37,121.60,1208100,121.60
2013-12-10,125.70,126.84,123.31,125.25,1128800,125.25
2013-12-09,127.14,128.09,125.24,125.84,1598400,125.84
2013-12-06,124.10,129.22,122.23,125.45,1022400,125.45
2013-12-05,122.19,123.08,121.07,122.17,831200,122.17
2013-12-04,121.04,123.18,120.14,122.65,875100,122.65
