Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,114.58,114.81,113.42,113.88,783800,113.88
2013-12-31,113.74,115.36,113.74,115.05,686500,115.05
2013-12-30,113.86,114.33,113.39,113.59,492600,113.59
2013-12-27,113.91,114.27,113.44,113.94,465000,113.94
2013-12-26,113.15,114.15,112.79,113.81,412400,113.81
2013-12-24,112.43,113.07,112.20,112.88,378700,112.88
2013-12-23,112.76,113.43,112.34,113.07,869300,113.07
2013-12-20,111.25,112.67,111.00,111.81,1796200,111.81
2013-12-19,111.43,111.50,110.65,110.84,1269300,110.84
2013-12-18,109.12,111.85,107.81,111.82,1250700,111.82
2013-12-17,108.85,109.23,108.50,108.58,1193800,108.58
2013-12-16,107.51,109.19,107.38,109.00,1150800,109.00
2013-12-13,106.86,107.53,106.09,106.68,1121700,106.68
2013-12-12,106.25,107.29,106.11,106.52,1069000,106.52
2013-12-11,108.24,108.62,106.19,106.40,1161900,106.40
2013-12-10,108.52,108.52,107.41,108.18,1323500,108.18
2013-12-09,109.03,109.87,108.65,108.99,1281600,108.99
2013-12-06,107.73,109.22,107.69,108.99,875600,108.99
2013-12-05,106.44,106.72,105.68,106.23,805700,106.23
2013-12-04,106.51,107.81,105.73,107.01,863100,107.01
