Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,79.51,79.74,78.85,79.45,1701100,79.45
2013-12-31,79.94,80.13,79.30,79.82,1438500,79.82
2013-12-30,78.95,79.88,78.94,79.80,1201000,79.80
2013-12-27,79.11,79.11,78.34,78.82,1444900,78.82
2013-12-26,78.88,79.07,78.42,78.84,951300,78.84
2013-12-24,78.34,78.79,78.22,78.71,559700,78.71
2013-12-23,79.02,79.30,78.25,78.42,1785300,78.42
2013-12-20,78.27,78.76,77.76,77.95,3072900,77.95
2013-12-19,78.08,78.60,77.47,78.11,2554500,78.11
2013-12-18,77.22,78.37,75.91,78.22,3121900,78.22
2013-12-17,76.17,76.82,75.88,76.39,2656100,76.39
2013-12-16,76.86,76.98,75.65,76.09,3439600,76.09
2013-12-13,77.00,77.74,76.50,76.76,2253300,76.76
2013-12-12,77.25,77.45,76.60,76.69,2299700,76.69
2013-12-11,79.09,79.20,77.55,77.81,2760500,77.52
2013-12-10,78.71,79.48,78.39,79.21,1794200,78.91
2013-12-09,78.17,78.90,77.69,78.84,2165300,78.55
2013-12-06,78.31,78.49,77.47,78.08,1465300,77.79
2013-12-05,77.37,78.16,76.72,77.75,2018900,77.46
2013-12-04,77.33,78.41,77.14,77.43,2197200,77.14
