Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,398.80,399.36,394.02,397.97,2137800,397.97
2013-12-31,394.58,398.83,393.80,398.79,1996500,398.79
2013-12-30,399.41,399.92,392.45,393.37,2487100,393.37
2013-12-27,404.65,405.63,396.25,398.08,1986900,398.08
2013-12-26,401.79,404.52,396.81,404.39,1868500,404.39
2013-12-24,402.52,403.72,396.37,399.20,1380400,399.20
2013-12-23,403.69,405.00,399.20,402.92,2659500,402.92
2013-12-20,396.55,404.72,395.78,402.20,5033900,402.20
2013-12-19,394.27,397.29,392.60,395.19,2427200,395.19
2013-12-18,389.23,396.30,383.10,395.96,3489100,395.96
2013-12-17,390.65,391.36,386.50,387.65,2343900,387.65
2013-12-16,385.03,391.70,385.00,388.97,2251700,388.97
2013-12-13,385.32,389.42,383.80,384.24,3025000,384.24
2013-12-12,381.26,385.00,379.50,381.25,2122500,381.25
2013-12-11,387.34,388.98,382.00,382.19,2436000,382.19
2013-12-10,383.74,389.06,383.02,387.78,2736800,387.78
2013-12-09,388.11,388.21,382.57,384.89,2761800,384.89
2013-12-06,388.35,388.35,383.83,386.95,1984700,386.95
2013-12-05,386.65,386.65,381.37,384.49,1874400,384.49
2013-12-04,383.50,389.69,381.49,385.96,2355300,385.96
