Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,79.03,79.03,78.01,78.56,3348300,78.56
2013-12-31,79.04,79.59,78.54,79.32,2258900,79.32
2013-12-30,79.33,79.86,78.80,79.09,2334600,79.09
2013-12-27,78.30,79.69,78.17,79.40,3045200,79.40
2013-12-26,78.49,78.51,77.89,78.22,2543000,78.22
2013-12-24,78.50,78.59,78.26,78.40,2203700,78.40
2013-12-23,79.11,79.28,78.31,78.49,3628500,78.49
2013-12-20,78.96,79.53,78.63,78.77,6046200,78.77
2013-12-19,79.57,79.59,78.80,79.02,6307900,79.02
2013-12-18,79.09,79.71,78.00,79.65,7626800,79.65
2013-12-17,78.90,79.76,78.68,79.11,8697000,79.11
2013-12-16,78.45,79.90,78.29,79.07,10344200,79.07
2013-12-13,73.65,78.32,73.60,78.30,38535900,78.30
2013-12-12,83.74,84.86,83.50,83.67,4731100,83.67
2013-12-11,84.87,85.37,83.41,83.59,5111700,83.59
2013-12-10,86.19,87.28,85.19,85.26,5517700,85.26
2013-12-09,86.66,86.84,85.43,86.19,4132700,86.19
2013-12-06,88.67,89.02,86.37,86.65,3948400,86.47
2013-12-05,88.21,89.05,87.75,87.99,2696900,87.81
2013-12-04,89.50,89.51,88.01,88.61,3568000,88.43
