Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,111.56,111.95,111.11,111.44,839100,111.44
2013-12-31,112.53,113.11,111.40,111.78,1178800,111.78
2013-12-30,112.48,113.32,112.47,112.59,422700,112.59
2013-12-27,113.87,113.99,112.95,113.43,476700,113.43
2013-12-26,112.93,113.83,112.77,113.66,483100,113.66
2013-12-24,112.61,113.54,112.35,112.79,452000,112.79
2013-12-23,111.74,112.61,111.16,112.52,692400,112.52
2013-12-20,111.21,112.26,111.10,111.30,1453000,111.30
2013-12-19,107.05,111.05,106.51,110.92,2244100,110.92
2013-12-18,107.88,107.99,105.74,107.28,1882800,107.28
2013-12-17,107.50,108.35,106.79,107.40,1315400,107.40
2013-12-16,108.01,108.65,107.07,107.30,860400,107.30
2013-12-13,107.59,108.26,107.39,107.72,686100,107.72
2013-12-12,106.72,107.75,106.13,107.48,697800,107.48
2013-12-11,108.94,108.97,106.74,106.83,702800,106.83
2013-12-10,108.49,109.77,108.44,109.10,625500,109.10
2013-12-09,109.36,109.51,108.67,109.18,833100,109.18
2013-12-06,107.81,109.55,107.45,109.51,762200,109.51
2013-12-05,107.00,107.35,106.18,106.51,674100,106.51
2013-12-04,107.00,107.80,106.45,107.45,725600,107.45
