Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,88.73,88.79,87.46,87.74,441800,87.74
2013-12-31,88.82,89.46,88.80,89.18,336800,89.18
2013-12-30,88.42,88.77,88.42,88.71,214000,88.71
2013-12-27,88.35,88.80,88.16,88.27,161600,88.27
2013-12-26,88.27,88.71,88.02,88.43,331400,88.43
2013-12-24,88.04,88.61,87.64,88.19,141200,88.19
2013-12-23,88.30,88.42,87.61,87.89,494000,87.89
2013-12-20,87.56,88.22,87.33,87.80,845400,87.80
2013-12-19,87.14,87.50,86.82,87.03,402100,87.03
2013-12-18,86.14,87.28,85.01,87.21,595000,87.21
2013-12-17,86.12,86.60,85.84,86.32,667100,86.32
2013-12-16,85.42,86.30,85.40,86.05,327700,86.05
2013-12-13,85.23,85.49,84.59,85.16,458400,85.16
2013-12-12,85.00,85.49,84.97,85.06,492100,85.06
2013-12-11,86.35,86.63,84.91,84.95,613100,84.95
2013-12-10,86.15,86.88,85.96,86.48,707400,86.48
2013-12-09,86.29,86.61,85.86,86.59,414500,86.59
2013-12-06,85.50,86.31,85.44,86.11,538000,85.91
2013-12-05,84.98,85.27,84.84,85.03,321000,84.83
2013-12-04,84.48,85.47,84.34,85.16,425500,84.96
