Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,111.75,111.86,109.37,109.61,509900,109.61
2013-12-31,112.13,112.49,111.26,111.85,244300,111.85
2013-12-30,111.42,112.15,110.83,112.11,330300,112.11
2013-12-27,111.37,112.60,110.28,111.30,209700,111.30
2013-12-26,111.00,111.13,110.34,110.92,180600,110.92
2013-12-24,109.67,111.01,109.04,110.85,105400,110.85
2013-12-23,110.25,110.26,109.17,109.39,464600,109.39
2013-12-20,108.86,109.91,106.76,109.90,523100,109.90
2013-12-19,109.00,110.13,108.63,109.95,309200,109.95
2013-12-18,107.52,109.25,106.49,109.15,376600,109.15
2013-12-17,107.37,107.90,106.70,107.50,253100,107.50
2013-12-16,107.14,108.16,106.34,107.52,373200,107.52
2013-12-13,108.04,108.35,106.16,106.34,548800,106.34
2013-12-12,106.85,107.75,106.17,107.63,322600,107.63
2013-12-11,109.33,109.82,107.00,107.19,371500,107.19
2013-12-10,109.78,111.17,109.30,109.49,374200,109.49
2013-12-09,109.87,110.76,109.44,110.23,295500,109.75
2013-12-06,108.67,109.77,108.42,109.72,310400,109.24
2013-12-05,107.44,108.58,107.30,108.02,328800,107.55
2013-12-04,107.13,108.24,106.56,107.79,287000,107.32
