Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,118.25,119.26,117.68,118.24,901900,118.24
2013-12-31,118.57,119.22,117.94,118.23,758800,118.23
2013-12-30,119.27,119.31,118.25,118.55,415900,118.55
2013-12-27,118.23,119.07,117.55,118.91,866800,118.91
2013-12-26,119.17,119.55,118.04,118.73,507400,117.66
2013-12-24,118.00,118.50,117.72,118.27,342500,117.20
2013-12-23,119.58,119.76,117.84,117.99,735200,116.93
2013-12-20,117.97,118.78,117.64,118.76,1523800,117.69
2013-12-19,119.66,119.99,117.11,118.01,751800,116.95
2013-12-18,118.30,119.85,116.37,119.63,1129400,118.55
2013-12-17,118.81,119.24,117.64,117.93,868200,116.87
2013-12-16,119.48,119.90,118.93,119.04,803900,117.97
2013-12-13,120.20,121.04,118.61,119.24,827900,118.17
2013-12-12,121.49,122.24,119.61,119.67,1277800,118.59
2013-12-11,122.53,122.53,120.43,120.55,1041900,119.46
2013-12-10,121.23,122.75,121.09,122.21,752300,121.11
2013-12-09,121.70,122.57,121.36,122.11,666500,121.01
2013-12-06,119.98,121.80,119.98,121.70,793200,120.60
2013-12-05,119.18,122.29,118.97,120.63,784000,119.54
2013-12-04,117.76,122.29,117.74,120.74,1612500,119.65
