Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,17.23,17.24,16.94,17.06,2339300,17.06
2013-12-31,17.25,17.41,17.18,17.22,2324100,17.22
2013-12-30,17.10,17.31,17.01,17.17,2405400,17.17
2013-12-27,17.43,17.45,17.25,17.32,1147000,17.32
2013-12-26,17.25,17.49,17.25,17.36,1239400,17.36
2013-12-24,17.26,17.35,17.11,17.24,874300,17.24
2013-12-23,17.46,17.50,17.21,17.23,2133100,17.23
2013-12-20,17.11,17.41,17.06,17.31,3527500,17.31
2013-12-19,16.98,17.17,16.90,17.16,2434300,17.16
2013-12-18,16.77,17.10,16.52,17.08,4579200,17.08
2013-12-17,16.98,17.04,16.80,16.92,2289000,16.92
2013-12-16,16.94,17.05,16.87,16.98,2212300,16.98
2013-12-13,16.80,16.96,16.65,16.82,2157200,16.82
2013-12-12,16.95,17.01,16.70,16.81,3813100,16.81
2013-12-11,17.82,17.82,16.85,17.03,10894400,17.03
2013-12-10,17.99,18.09,17.75,17.82,3046000,17.82
2013-12-09,17.75,17.93,17.71,17.91,1977200,17.91
2013-12-06,17.73,17.80,17.59,17.67,2173400,17.67
2013-12-05,17.70,17.70,17.51,17.55,2030000,17.55
2013-12-04,17.71,17.87,17.51,17.79,3193100,17.79
