Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,477.67,479.70,472.51,474.11,151800,474.11
2013-12-31,483.74,483.74,475.82,477.94,174800,477.94
2013-12-30,476.83,479.66,474.53,479.33,195100,479.33
2013-12-27,475.38,479.00,474.08,476.83,180600,476.83
2013-12-26,479.95,479.95,474.46,476.85,125000,476.85
2013-12-24,479.95,479.95,471.36,475.57,86900,475.57
2013-12-23,465.34,474.99,465.34,472.32,269000,472.32
2013-12-20,472.39,473.93,470.95,473.19,446900,473.19
2013-12-19,471.24,473.33,467.40,470.84,287300,470.84
2013-12-18,464.75,471.20,461.60,470.56,319300,470.56
2013-12-17,463.77,467.34,461.14,461.76,274300,461.76
2013-12-16,466.27,469.07,463.70,464.00,280500,464.00
2013-12-13,466.29,470.77,463.85,465.18,217200,465.18
2013-12-12,466.38,469.41,463.50,465.90,266200,465.90
2013-12-11,470.86,473.68,466.24,467.79,448100,467.79
2013-12-10,467.47,484.16,461.61,471.86,965300,471.86
2013-12-09,456.88,462.73,456.03,457.34,567100,457.34
2013-12-06,462.63,464.10,458.87,459.60,228200,459.60
2013-12-05,459.99,463.19,457.36,460.00,226200,460.00
2013-12-04,460.21,462.80,454.88,456.02,232900,456.02
