Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,136.01,137.25,135.51,136.67,3366700,136.67
2013-12-31,136.16,137.05,135.74,136.49,2096000,136.49
2013-12-30,137.16,137.37,135.54,135.92,2403500,135.92
2013-12-27,138.69,138.88,136.79,136.90,2204600,136.90
2013-12-26,137.18,138.59,137.17,138.27,2161300,138.27
2013-12-24,136.40,136.98,136.14,136.83,1203200,136.83
2013-12-23,137.69,138.09,136.32,136.40,2945100,136.40
2013-12-20,135.49,137.85,135.49,136.67,5454600,136.67
2013-12-19,135.00,136.23,133.94,135.17,3177100,135.17
2013-12-18,135.86,136.44,132.84,135.49,5632400,135.49
2013-12-17,137.92,138.10,135.36,135.88,6735500,135.88
2013-12-16,134.27,135.20,133.94,134.72,3797000,134.72
2013-12-13,133.45,134.25,133.14,133.83,3139400,133.83
2013-12-12,132.11,133.65,131.90,132.96,3617000,132.96
2013-12-11,133.70,133.81,132.44,132.56,3323000,132.56
2013-12-10,133.65,135.04,132.18,133.70,4061300,133.70
2013-12-09,135.49,135.95,134.57,134.68,3799000,134.68
2013-12-06,134.58,135.75,134.00,135.18,5341800,135.18
2013-12-05,131.26,133.10,131.25,132.73,3580100,132.73
2013-12-04,131.73,132.15,130.55,131.50,5137100,131.50
