Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,15.69,16.16,15.68,16.10,148709900,16.10
2013-12-31,15.60,15.62,15.51,15.57,57188900,15.57
2013-12-30,15.64,15.69,15.52,15.54,56171600,15.54
2013-12-27,15.67,15.70,15.58,15.67,39972900,15.67
2013-12-26,15.74,15.75,15.64,15.65,48729100,15.65
2013-12-24,15.72,15.75,15.67,15.70,21770400,15.70
2013-12-23,15.72,15.79,15.69,15.69,52142200,15.69
2013-12-20,15.75,15.87,15.60,15.60,131793400,15.60
2013-12-19,15.66,15.79,15.60,15.75,97776100,15.75
2013-12-18,15.28,15.71,15.06,15.69,152687300,15.69
2013-12-17,15.24,15.30,15.14,15.18,74010500,15.18
2013-12-16,15.22,15.34,15.20,15.24,71013700,15.24
2013-12-13,15.28,15.33,15.13,15.18,61261800,15.18
2013-12-12,15.26,15.35,15.12,15.25,76113900,15.25
2013-12-11,15.55,15.55,15.18,15.25,117565000,15.25
2013-12-10,15.52,15.68,15.51,15.56,67486300,15.56
2013-12-09,15.62,15.67,15.56,15.58,50167200,15.58
2013-12-06,15.61,15.72,15.46,15.56,92203100,15.56
2013-12-05,15.61,15.64,15.36,15.43,95230500,15.43
2013-12-04,15.39,15.73,15.36,15.63,96497900,15.63
