Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,39.75,41.00,39.62,40.50,4012800,40.50
2013-12-31,40.02,40.29,39.70,39.88,2926900,39.88
2013-12-30,40.26,40.26,39.32,40.01,3749900,40.01
2013-12-27,41.02,41.24,40.06,40.17,2729700,40.17
2013-12-26,40.24,41.17,40.24,41.04,3396600,41.04
2013-12-24,40.52,40.74,40.07,40.22,1520000,40.22
2013-12-23,39.76,40.74,39.58,40.61,4901100,40.61
2013-12-20,41.42,41.45,39.64,39.66,10027900,39.66
2013-12-19,42.00,42.00,41.20,41.35,3010600,41.35
2013-12-18,41.63,42.21,40.96,41.96,4616000,41.96
2013-12-17,41.64,41.68,40.84,41.22,3630700,41.22
2013-12-16,40.86,41.89,40.71,41.73,4278500,41.73
2013-12-13,40.38,41.25,40.38,40.51,3951400,40.51
2013-12-12,40.51,41.04,40.00,40.23,4934600,40.23
2013-12-11,41.36,41.49,40.26,40.51,3279000,40.51
2013-12-10,41.42,41.93,41.16,41.54,2486400,41.54
2013-12-09,41.07,41.87,41.07,41.36,4514500,41.36
2013-12-06,41.79,42.40,40.89,41.05,5002600,41.05
2013-12-05,42.57,43.19,41.54,41.60,5397400,41.43
2013-12-04,42.00,43.00,41.60,42.80,6631600,42.63
