Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,67.91,67.91,66.65,67.00,765200,67.00
2013-12-31,67.70,68.17,67.70,68.06,354600,68.06
2013-12-30,67.36,67.97,67.23,67.64,369900,67.64
2013-12-27,67.19,67.42,67.01,67.29,225500,67.29
2013-12-26,67.20,67.30,66.80,67.18,310400,67.18
2013-12-24,67.08,67.32,66.90,67.08,105100,67.08
2013-12-23,67.58,67.71,67.02,67.14,433300,67.14
2013-12-20,67.34,67.44,66.99,67.34,754700,67.34
2013-12-19,66.93,67.34,66.70,66.94,488600,66.94
2013-12-18,66.10,67.29,65.20,67.27,787200,67.27
2013-12-17,66.29,66.55,65.93,66.19,699400,66.19
2013-12-16,66.03,66.59,65.88,65.93,463600,65.93
2013-12-13,66.04,66.11,65.43,65.77,1115300,65.77
2013-12-12,67.14,67.16,65.72,65.94,964800,65.94
2013-12-11,67.40,67.92,67.19,67.38,1269300,67.38
2013-12-10,67.20,67.33,66.86,67.23,776500,67.23
2013-12-09,66.83,67.46,66.41,67.45,1123600,67.45
2013-12-06,66.75,66.75,65.89,66.71,905600,66.71
2013-12-05,66.53,66.80,65.83,66.15,673800,66.15
2013-12-04,66.58,66.75,65.66,66.65,463600,66.65
