Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,57.36,57.56,56.41,56.72,1092100,56.72
2013-12-31,57.20,57.85,57.14,57.73,1175300,57.73
2013-12-30,57.12,57.52,56.99,57.19,1108400,57.19
2013-12-27,57.03,57.44,56.90,57.23,1567700,57.23
2013-12-26,56.79,57.32,56.38,57.18,1762200,57.06
2013-12-24,56.55,56.77,56.36,56.73,456900,56.61
2013-12-23,56.91,56.99,56.41,56.58,1201200,56.46
2013-12-20,55.79,56.90,55.49,56.25,3769000,56.13
2013-12-19,55.88,55.92,55.31,55.67,2691400,55.55
2013-12-18,54.82,56.07,53.98,56.03,3120600,55.91
2013-12-17,54.55,54.71,53.82,54.43,2253600,54.32
2013-12-16,54.41,54.88,54.23,54.65,1349300,54.54
2013-12-13,53.95,54.26,53.62,54.02,3952200,53.91
2013-12-12,53.73,54.05,53.57,53.70,1589400,53.59
2013-12-11,55.04,55.07,53.63,53.78,2654100,53.67
2013-12-10,55.54,55.54,54.58,54.99,2637800,54.87
2013-12-09,54.66,55.77,54.37,55.70,2571100,55.58
2013-12-06,54.88,54.88,54.42,54.58,2170200,54.47
2013-12-05,54.29,54.47,53.96,54.09,3361400,53.98
2013-12-04,54.36,54.98,54.05,54.55,1903700,54.44
