Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,54.98,55.42,53.84,54.07,3475200,54.07
2013-12-31,54.56,55.33,54.51,55.26,2244900,55.26
2013-12-30,54.86,55.08,54.42,54.45,2223300,54.45
2013-12-27,54.64,54.96,54.33,54.77,1872400,54.77
2013-12-26,54.21,54.75,54.09,54.58,2386400,54.58
2013-12-24,53.76,54.17,53.52,54.00,1284700,54.00
2013-12-23,54.12,54.42,53.51,53.64,2765800,53.64
2013-12-20,53.38,54.14,53.23,53.81,4062100,53.81
2013-12-19,53.65,53.65,52.75,53.19,3259400,53.19
2013-12-18,52.68,53.78,52.43,53.66,4463400,53.66
2013-12-17,53.17,53.55,52.65,52.66,3604100,52.66
2013-12-16,52.89,53.45,52.77,53.23,3090800,53.23
2013-12-13,53.11,53.13,52.37,52.71,4069200,52.71
2013-12-12,52.38,53.55,52.25,53.03,5006500,53.03
2013-12-11,53.28,53.30,52.35,52.44,3452300,52.44
2013-12-10,53.76,54.08,53.24,53.29,3472400,53.29
2013-12-09,53.69,53.91,53.27,53.74,4269500,53.74
2013-12-06,54.69,54.85,53.45,53.83,3961700,53.83
2013-12-05,54.47,54.51,53.63,54.00,6429100,54.00
2013-12-04,56.40,56.79,53.77,54.70,9548600,54.70
