Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,40.90,40.99,40.63,40.81,669400,40.81
2013-12-31,40.92,41.02,40.74,40.96,437000,40.96
2013-12-30,40.58,40.97,40.55,40.92,451300,40.92
2013-12-27,40.86,40.86,40.37,40.58,401500,40.58
2013-12-26,40.38,40.65,40.02,40.61,373000,40.61
2013-12-24,39.94,40.50,39.81,40.37,236200,40.37
2013-12-23,39.90,40.03,39.80,39.95,773300,39.95
2013-12-20,40.00,40.04,39.59,39.78,1146500,39.78
2013-12-19,40.03,40.07,39.64,39.85,935900,39.85
2013-12-18,39.54,40.16,39.24,40.09,779600,40.09
2013-12-17,39.63,39.68,39.29,39.46,538000,39.46
2013-12-16,39.31,39.62,39.11,39.61,618400,39.61
2013-12-13,38.87,39.24,38.74,39.09,566500,39.09
2013-12-12,38.82,38.92,38.62,38.75,508100,38.75
2013-12-11,39.37,39.40,38.83,38.87,524300,38.87
2013-12-10,39.36,39.53,39.16,39.28,560000,39.28
2013-12-09,39.53,39.74,39.16,39.46,689700,39.46
2013-12-06,39.02,39.48,38.96,39.47,433000,39.47
2013-12-05,38.56,38.77,38.40,38.70,552900,38.70
2013-12-04,38.55,38.67,38.14,38.57,657900,38.57
