Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,29.40,29.58,28.84,28.99,7073000,28.99
2013-12-31,29.39,29.75,29.18,29.65,5448400,29.65
2013-12-30,29.27,29.42,29.11,29.24,4829700,29.24
2013-12-27,29.25,29.39,29.15,29.29,3761900,29.29
2013-12-26,29.20,29.34,29.02,29.18,4587000,29.18
2013-12-24,29.03,29.39,29.02,29.16,3735200,29.16
2013-12-23,28.94,29.25,28.73,29.03,7907400,29.03
2013-12-20,28.87,28.93,28.42,28.57,13078800,28.57
2013-12-19,28.62,28.83,28.50,28.74,8287100,28.74
2013-12-18,28.34,28.63,28.06,28.60,9032900,28.60
2013-12-17,28.30,28.67,28.29,28.41,9157900,28.41
2013-12-16,27.80,28.86,27.80,28.38,10860900,28.38
2013-12-13,28.42,28.50,27.94,28.01,6235300,28.01
2013-12-12,28.61,28.80,27.83,28.32,12454200,28.32
2013-12-11,28.58,28.89,28.57,28.68,10740000,28.68
2013-12-10,28.41,28.90,28.11,28.51,18242800,28.51
2013-12-09,27.54,27.93,27.52,27.88,7811900,27.88
2013-12-06,27.61,28.00,27.47,27.53,9553600,27.53
2013-12-05,27.51,27.92,27.17,27.30,15927500,27.30
2013-12-04,26.89,27.45,26.63,26.87,7570100,26.87
