Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,100.22,101.36,99.55,100.39,894800,100.39
2013-12-31,101.15,101.62,99.89,100.37,896800,100.37
2013-12-30,100.54,101.30,100.25,101.11,502100,101.11
2013-12-27,101.07,101.50,99.80,100.40,653300,100.40
2013-12-26,103.89,104.24,102.83,104.00,608100,101.10
2013-12-24,103.51,104.03,102.57,103.42,373900,100.54
2013-12-23,103.96,105.22,103.37,103.71,789800,100.82
2013-12-20,101.96,103.62,101.81,103.50,1475400,100.61
2013-12-19,103.10,103.10,101.57,102.15,1167800,99.30
2013-12-18,101.37,103.21,99.74,103.00,1012400,100.13
2013-12-17,99.26,101.16,98.88,101.11,994400,98.29
2013-12-16,98.59,99.24,98.04,98.97,733000,96.21
2013-12-13,99.62,100.37,98.18,98.46,883800,95.71
2013-12-12,99.77,99.83,98.83,99.13,947100,96.37
2013-12-11,102.09,102.09,99.60,99.66,1243800,96.88
2013-12-10,101.70,102.96,101.38,102.23,987800,99.38
2013-12-09,100.96,102.00,100.48,102.00,876300,99.16
2013-12-06,100.93,101.42,99.94,100.73,912000,97.92
2013-12-05,99.39,100.40,98.42,100.04,1091000,97.25
2013-12-04,98.61,100.72,98.52,99.78,810800,97.00
