Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,52.03,52.40,51.81,52.27,16479700,52.27
2013-12-31,51.96,52.12,51.81,52.11,10706800,52.11
2013-12-30,52.25,52.44,51.83,51.92,11506000,51.92
2013-12-27,52.36,52.41,52.19,52.26,11814500,52.26
2013-12-26,52.62,52.69,52.20,52.35,8882900,52.35
2013-12-24,52.36,52.47,52.08,52.43,5302600,52.43
2013-12-23,52.49,52.64,52.22,52.41,13627500,52.41
2013-12-20,52.03,52.44,51.90,52.21,27871300,52.21
2013-12-19,51.73,52.13,51.45,51.88,20127100,51.88
2013-12-18,50.81,52.07,50.33,51.96,32900500,51.96
2013-12-17,51.00,51.05,50.55,50.69,17905200,50.69
2013-12-16,51.39,51.61,50.82,50.90,20312000,50.90
2013-12-13,50.98,51.19,50.68,50.97,16743600,50.97
2013-12-12,51.00,51.14,50.27,50.91,27234100,50.91
2013-12-11,51.62,51.65,50.53,50.71,24492700,50.71
2013-12-10,51.95,52.61,51.69,51.74,20014400,51.74
2013-12-09,51.94,52.46,51.92,52.11,16599600,52.11
2013-12-06,51.74,51.99,51.20,51.49,19714300,51.49
2013-12-05,51.61,51.80,50.95,51.06,23541500,51.06
2013-12-04,51.14,52.31,51.05,52.04,32108800,52.04
