Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,33.66,33.73,33.46,33.57,1904000,33.57
2013-12-31,33.70,33.83,33.45,33.70,1698000,33.70
2013-12-30,33.57,33.70,33.47,33.68,1228100,33.68
2013-12-27,33.40,33.72,33.29,33.55,1386200,33.55
2013-12-26,33.48,33.58,33.32,33.42,1543000,33.42
2013-12-24,33.36,33.61,33.31,33.49,921900,33.49
2013-12-23,33.73,33.74,33.24,33.31,2407700,33.31
2013-12-20,33.46,33.92,33.40,33.54,4559400,33.54
2013-12-19,33.05,33.90,32.85,33.47,9165600,33.47
2013-12-18,31.51,31.80,31.03,31.79,5236600,31.79
2013-12-17,31.66,31.73,31.22,31.48,4221900,31.48
2013-12-16,31.69,31.85,31.45,31.77,2973200,31.77
2013-12-13,32.11,32.11,31.53,31.67,3993400,31.67
2013-12-12,32.52,32.53,32.00,32.15,2827400,32.15
2013-12-11,32.58,32.64,32.32,32.52,2733700,32.52
2013-12-10,33.04,33.06,32.39,32.51,2634800,32.51
2013-12-09,33.15,33.47,32.97,33.12,3049800,33.12
2013-12-06,32.86,33.14,32.81,33.07,2561400,33.07
2013-12-05,32.74,32.91,32.47,32.64,1853100,32.64
2013-12-04,32.75,33.00,32.46,32.88,2914900,32.88
