Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,63.25,63.73,62.41,63.25,6723000,63.25
2013-12-31,63.66,64.06,63.36,63.74,3884000,63.74
2013-12-30,62.99,64.06,62.99,63.66,6983700,63.66
2013-12-27,63.04,63.33,62.23,63.04,3968400,63.04
2013-12-26,62.06,63.14,61.74,63.00,3886400,63.00
2013-12-24,61.69,61.91,61.44,61.66,2351100,61.66
2013-12-23,61.07,61.85,60.82,61.81,4681700,61.81
2013-12-20,60.66,61.23,60.38,60.70,5626000,60.70
2013-12-19,59.61,60.85,59.56,60.72,4903600,60.72
2013-12-18,58.72,59.87,58.10,59.79,6198600,59.79
2013-12-17,59.03,59.09,58.21,58.72,3290100,58.72
2013-12-16,58.84,59.40,58.53,59.13,3385100,59.13
2013-12-13,58.31,58.73,58.06,58.42,2523800,58.42
2013-12-12,58.25,58.60,57.84,58.17,3485400,58.17
2013-12-11,59.61,59.61,58.25,58.44,3519100,58.44
2013-12-10,58.77,59.37,58.68,59.24,3953200,59.24
2013-12-09,58.96,59.57,58.53,58.95,3007100,58.95
2013-12-06,59.03,59.26,58.61,58.90,3391700,58.78
2013-12-05,58.00,58.43,57.74,58.26,3520600,58.14
2013-12-04,58.09,59.28,57.52,58.09,4582700,57.97
