Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,73.14,73.20,71.23,71.63,3659600,71.63
2013-12-31,73.43,73.69,73.09,73.43,1339700,73.43
2013-12-30,72.64,73.60,72.60,73.22,1312600,73.22
2013-12-27,72.67,72.82,72.32,72.57,1292900,72.57
2013-12-26,72.70,72.93,72.42,72.56,1241200,72.56
2013-12-24,71.99,72.75,71.88,72.44,685100,72.44
2013-12-23,72.32,72.54,71.87,72.15,1510000,72.15
2013-12-20,72.92,73.03,71.80,71.98,3787800,71.98
2013-12-19,72.21,73.07,71.92,73.00,2743400,73.00
2013-12-18,71.48,72.22,70.43,72.20,3814200,72.20
2013-12-17,72.21,72.41,71.27,71.61,2534100,71.61
2013-12-16,73.77,73.77,70.97,72.17,7999400,72.17
2013-12-13,74.00,74.48,73.59,73.91,1726800,73.91
2013-12-12,74.00,74.41,73.85,74.05,1488900,74.05
2013-12-11,74.79,75.14,74.00,74.14,1554100,74.14
2013-12-10,75.33,76.08,75.04,75.21,1576800,75.21
2013-12-09,75.38,75.71,74.88,75.34,1900200,75.34
2013-12-06,74.69,75.43,74.61,75.40,1366500,75.40
2013-12-05,74.48,74.86,73.95,74.55,1888800,74.55
2013-12-04,74.74,74.74,73.81,74.51,2664300,74.51
