Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,39.64,39.99,39.61,39.81,2953600,39.81
2013-12-31,40.17,40.47,39.95,40.17,2499700,40.17
2013-12-30,40.06,40.18,39.80,40.14,3001800,40.14
2013-12-27,40.11,40.41,39.82,39.89,4184400,39.89
2013-12-26,39.50,39.63,39.35,39.54,1832300,39.54
2013-12-24,39.20,39.48,39.12,39.44,1731000,39.44
2013-12-23,39.45,39.61,39.08,39.15,6279700,39.15
2013-12-20,39.00,39.04,38.43,38.85,11550300,38.85
2013-12-19,38.59,38.84,37.29,38.05,16530400,38.05
2013-12-18,36.64,37.15,36.26,37.11,5451100,37.11
2013-12-17,36.39,36.76,36.34,36.55,4329200,36.55
2013-12-16,35.88,36.71,35.88,36.47,6702600,36.47
2013-12-13,35.30,36.07,35.24,35.99,6797100,35.99
2013-12-12,35.43,35.64,35.15,35.34,2997500,35.34
2013-12-11,35.64,35.76,35.34,35.38,3230100,35.38
2013-12-10,35.64,35.85,35.49,35.69,2864000,35.69
2013-12-09,35.19,35.91,35.17,35.60,3324600,35.60
2013-12-06,35.08,35.45,34.91,35.34,4529500,35.34
2013-12-05,35.00,35.19,34.82,34.99,4708600,34.99
2013-12-04,35.24,35.59,35.16,35.55,5142800,35.55
