Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,169.01,172.34,168.17,171.94,2377700,171.94
2013-12-31,168.78,170.09,167.81,168.97,1490400,168.97
2013-12-30,168.89,169.95,168.00,168.98,1240900,168.98
2013-12-27,169.21,170.47,168.30,168.93,1257400,168.93
2013-12-26,167.39,169.84,167.38,169.14,1219400,169.14
2013-12-24,167.69,168.34,166.05,167.42,820200,167.42
2013-12-23,168.76,169.70,167.00,168.35,1748000,168.35
2013-12-20,164.70,168.00,164.61,167.48,3643500,167.48
2013-12-19,162.19,164.30,162.00,164.02,2166400,164.02
2013-12-18,161.03,162.49,157.18,162.48,3516500,162.48
2013-12-17,164.04,164.17,160.00,160.79,2621200,160.79
2013-12-16,166.00,167.79,163.29,163.38,2457700,163.38
2013-12-13,166.81,166.85,164.00,164.90,2702000,164.90
2013-12-12,165.36,168.32,165.00,165.52,2120200,165.52
2013-12-11,169.28,170.49,165.71,166.05,3051000,166.05
2013-12-10,170.53,172.95,168.24,170.77,3400300,170.77
2013-12-09,170.47,173.80,168.57,170.01,5024500,170.01
2013-12-06,167.18,167.25,163.94,166.43,2547000,166.43
2013-12-05,163.32,166.00,162.26,164.51,3280800,164.51
2013-12-04,159.50,161.45,158.05,160.07,1794100,160.07
