Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,233.03,236.80,232.29,233.69,692000,233.69
2013-12-31,231.80,233.70,231.42,233.04,411800,233.04
2013-12-30,231.64,232.68,228.22,231.82,449200,231.82
2013-12-27,232.65,233.08,229.45,231.13,388200,231.13
2013-12-26,232.39,234.50,231.98,232.65,253800,232.65
2013-12-24,230.83,233.61,230.83,231.62,190900,231.62
2013-12-23,229.75,232.74,228.09,231.12,513800,231.12
2013-12-20,226.38,228.45,226.38,228.00,820600,228.00
2013-12-19,226.16,229.74,226.16,228.02,497000,228.02
2013-12-18,229.03,230.20,223.28,228.24,787200,228.24
2013-12-17,225.64,230.41,225.50,229.65,954300,229.65
2013-12-16,226.91,227.68,222.51,226.63,817300,226.63
2013-12-13,226.49,228.06,225.19,225.55,535300,225.55
2013-12-12,227.50,228.62,225.42,225.67,606300,225.67
2013-12-11,230.00,230.00,227.43,228.10,502100,228.10
2013-12-10,231.59,233.68,229.16,229.77,672800,229.77
2013-12-09,233.09,234.11,230.75,231.59,723600,231.59
2013-12-06,237.91,238.19,232.77,233.09,712700,233.09
2013-12-05,238.29,239.40,234.81,235.62,1805300,235.62
2013-12-04,227.10,237.43,225.00,237.07,4246600,237.07
