Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,39.81,39.92,39.11,39.21,1186600,39.21
2013-12-31,40.00,40.15,39.65,39.82,733300,39.82
2013-12-30,39.84,40.03,39.69,39.97,781500,39.97
2013-12-27,40.24,40.24,39.75,39.80,578200,39.80
2013-12-26,39.85,39.95,39.50,39.67,850300,39.67
2013-12-24,39.52,40.06,39.52,39.80,576700,39.80
2013-12-23,39.54,39.76,39.38,39.53,1280600,39.53
2013-12-20,39.52,39.73,39.33,39.40,2193500,39.40
2013-12-19,39.50,39.61,39.22,39.54,1680400,39.54
2013-12-18,38.63,39.66,38.42,39.51,2866100,39.51
2013-12-17,38.68,38.70,37.60,38.49,3724200,38.49
2013-12-16,39.01,39.68,39.01,39.49,1975800,39.49
2013-12-13,38.66,39.20,38.66,38.71,1431200,38.71
2013-12-12,38.53,38.80,38.33,38.68,1454300,38.68
2013-12-11,39.32,39.47,38.59,38.61,1629300,38.61
2013-12-10,40.06,40.12,39.46,39.47,814500,39.47
2013-12-09,39.86,40.24,39.66,40.24,1313800,40.24
2013-12-06,39.88,39.99,39.57,39.67,1222300,39.67
2013-12-05,39.26,39.63,39.21,39.50,905600,39.50
2013-12-04,39.47,39.84,39.13,39.41,1166200,39.41
