Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,86.99,87.45,86.19,86.20,1021700,86.20
2013-12-31,86.69,87.73,86.43,87.48,770200,87.48
2013-12-30,86.53,86.75,85.72,86.61,871600,86.61
2013-12-27,86.85,87.23,86.42,86.53,365900,86.53
2013-12-26,86.31,86.98,86.21,86.81,386100,86.81
2013-12-24,86.17,86.55,85.83,86.17,246600,86.17
2013-12-23,85.80,86.18,85.47,85.99,713900,85.99
2013-12-20,85.49,85.72,84.72,85.25,2148200,85.25
2013-12-19,84.64,85.38,83.98,85.32,1122900,85.32
2013-12-18,83.99,85.05,83.16,85.04,1086700,85.04
2013-12-17,84.15,84.18,83.52,83.78,1366700,83.78
2013-12-16,84.06,84.45,83.02,83.95,1329500,83.95
2013-12-13,84.56,85.26,83.16,83.25,1141600,83.25
2013-12-12,84.86,85.32,84.02,84.28,1525500,84.28
2013-12-11,85.97,86.49,84.85,85.13,1854400,85.13
2013-12-10,86.81,87.01,86.08,86.10,1258600,86.10
2013-12-09,87.51,87.93,86.92,87.15,1394900,87.15
2013-12-06,85.32,86.63,85.21,86.50,1362600,86.50
2013-12-05,85.87,85.92,84.23,84.32,1174000,84.32
2013-12-04,85.90,86.83,85.09,85.95,1314700,85.95
