Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,52.15,52.19,51.25,51.45,541000,51.45
2013-12-31,52.43,52.50,52.20,52.37,331500,52.37
2013-12-30,51.96,52.30,51.90,52.25,399200,52.25
2013-12-27,52.32,52.47,51.96,51.98,344300,51.98
2013-12-26,53.74,53.74,52.20,52.38,362800,52.38
2013-12-24,52.08,52.26,51.97,52.22,263100,52.22
2013-12-23,52.16,52.52,52.02,52.05,764300,52.05
2013-12-20,51.52,52.07,51.44,52.01,1118900,52.01
2013-12-19,51.35,51.53,51.19,51.40,446000,51.40
2013-12-18,50.73,51.53,50.37,51.52,757900,51.52
2013-12-17,50.72,50.87,50.51,50.67,455600,50.67
2013-12-16,51.02,51.10,50.72,50.83,568100,50.83
2013-12-13,51.47,51.74,51.20,51.22,407900,50.80
2013-12-12,51.30,51.53,51.23,51.33,413300,50.91
2013-12-11,51.95,52.25,51.32,51.39,468400,50.97
2013-12-10,52.20,52.30,51.82,52.02,553400,51.59
2013-12-09,52.35,52.53,51.98,52.24,572600,51.81
2013-12-06,51.99,52.28,51.71,52.28,516900,51.85
2013-12-05,51.75,51.86,51.18,51.39,438700,50.97
2013-12-04,51.59,52.06,51.14,51.68,445400,51.26
