Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,92.75,92.75,90.65,91.16,1353300,91.16
2013-12-31,93.76,93.85,92.45,92.76,899400,92.76
2013-12-30,92.96,93.78,92.81,93.70,638300,93.70
2013-12-27,93.10,93.50,93.00,93.28,493500,93.28
2013-12-26,93.03,93.03,92.38,92.69,407200,92.69
2013-12-24,92.75,93.11,92.39,92.66,333500,92.66
2013-12-23,93.17,93.42,92.27,92.49,805400,92.49
2013-12-20,92.73,93.19,92.51,92.96,1146500,92.96
2013-12-19,93.38,93.50,92.24,92.54,884400,92.54
2013-12-18,92.29,93.43,91.56,93.40,1572300,93.40
2013-12-17,93.19,93.28,91.54,92.24,979600,92.24
2013-12-16,93.54,94.25,93.00,93.34,775300,93.34
2013-12-13,93.59,93.67,92.94,93.25,579200,93.25
2013-12-12,94.79,95.13,93.20,93.31,1396700,93.31
2013-12-11,94.74,95.63,94.43,94.60,754000,94.60
2013-12-10,95.67,95.69,94.10,94.51,1249000,94.51
2013-12-09,95.86,96.76,95.49,95.78,1617300,95.78
2013-12-06,93.61,95.90,93.52,95.83,1725700,95.83
2013-12-05,93.45,93.60,92.58,92.95,1562600,92.95
2013-12-04,92.73,93.99,92.07,93.83,2015500,93.83
