Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,47.24,47.43,46.84,46.85,1094700,46.85
2013-12-31,47.65,47.81,47.37,47.54,824100,47.54
2013-12-30,47.46,47.69,47.37,47.63,1179500,47.63
2013-12-27,47.49,47.70,47.26,47.47,884100,47.47
2013-12-26,48.69,48.69,47.39,47.51,1307000,47.51
2013-12-24,47.13,47.46,46.99,47.37,353200,47.37
2013-12-23,46.83,47.16,46.74,47.13,1043400,47.13
2013-12-20,46.76,46.94,46.32,46.73,2485200,46.73
2013-12-19,45.96,46.67,45.75,46.54,2326500,46.54
2013-12-18,45.50,46.39,45.13,46.36,1791000,46.36
2013-12-17,45.57,45.59,45.12,45.49,1347700,45.49
2013-12-16,45.35,45.75,45.14,45.56,1390000,45.56
2013-12-13,45.58,45.77,44.92,45.04,1195900,45.04
2013-12-12,44.98,45.78,44.87,45.51,1519300,45.51
2013-12-11,45.58,45.72,44.80,44.85,1207600,44.85
2013-12-10,45.91,46.25,45.67,45.76,1013300,45.59
2013-12-09,45.89,46.14,45.79,46.07,982000,45.90
2013-12-06,45.53,45.91,45.29,45.85,1003400,45.68
2013-12-05,45.10,45.39,44.77,44.96,817100,44.79
2013-12-04,44.95,45.79,44.77,45.26,1200500,45.09
