Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,51.80,51.90,51.27,51.45,9761200,51.45
2013-12-31,51.88,52.09,51.71,51.97,9322700,51.97
2013-12-30,51.56,52.02,51.55,51.87,5587700,51.87
2013-12-27,51.74,51.80,51.32,51.79,5604200,51.79
2013-12-26,51.18,51.54,51.18,51.51,4073300,51.51
2013-12-24,50.91,51.29,50.72,51.28,3185400,51.28
2013-12-23,51.00,51.45,50.88,50.99,7864800,50.99
2013-12-20,50.67,51.30,50.62,50.94,16808700,50.94
2013-12-19,50.24,50.81,49.98,50.78,10870700,50.78
2013-12-18,49.26,50.30,48.70,50.27,12301600,50.27
2013-12-17,49.61,49.61,48.74,49.05,7294100,49.05
2013-12-16,49.44,49.62,48.96,49.24,9718800,49.24
2013-12-13,48.86,49.47,48.69,49.01,11365300,49.01
2013-12-12,48.52,49.16,48.50,48.67,7701700,48.67
2013-12-11,49.31,49.39,48.65,48.66,9874000,48.66
2013-12-10,49.24,49.57,49.11,49.39,9528700,49.39
2013-12-09,49.44,49.52,48.92,49.14,7433500,49.14
2013-12-06,49.49,49.61,48.89,49.27,10908600,49.27
2013-12-05,48.67,49.09,48.21,49.08,10546900,49.08
2013-12-04,48.71,49.25,48.25,48.88,9688200,48.88
