Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,77.96,78.75,77.32,77.96,2070900,77.96
2013-12-31,78.93,79.46,78.13,78.46,1307600,78.46
2013-12-30,79.11,79.18,77.59,78.44,2752800,78.44
2013-12-27,80.21,80.21,78.83,78.91,1438400,78.91
2013-12-26,80.37,80.78,79.55,79.88,2441800,79.88
2013-12-24,80.38,80.46,78.68,80.03,1715300,80.03
2013-12-23,84.36,84.43,82.33,83.12,1962700,80.52
2013-12-20,83.60,84.41,83.30,83.79,2693400,81.17
2013-12-19,84.16,84.70,83.59,83.68,2118300,81.06
2013-12-18,83.20,84.71,82.42,84.64,2379700,81.99
2013-12-17,82.21,83.06,82.10,82.89,2430700,80.30
2013-12-16,82.00,82.96,81.85,82.36,1968200,79.78
2013-12-13,80.14,81.86,80.11,81.51,1792000,78.96
2013-12-12,79.05,80.13,78.51,80.11,1519900,77.60
2013-12-11,79.69,80.24,78.79,78.93,1351900,76.46
2013-12-10,80.66,80.95,78.96,79.74,1615700,77.25
2013-12-09,79.97,81.83,79.96,81.03,1846200,78.50
2013-12-06,79.44,80.06,78.48,79.97,2648900,77.47
2013-12-05,79.80,80.34,77.93,79.11,2882200,76.20
2013-12-04,80.59,81.18,79.32,80.06,2536700,77.11
