Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,530.00,532.96,521.53,523.43,456500,523.43
2013-12-31,533.80,534.07,529.51,532.78,197300,532.78
2013-12-30,530.33,534.59,528.01,532.04,263100,532.04
2013-12-27,536.84,536.84,529.65,530.75,238500,530.75
2013-12-26,532.59,535.76,530.44,535.43,210800,535.43
2013-12-24,529.99,534.00,529.99,533.11,104700,533.11
2013-12-23,535.50,537.00,527.94,531.03,349900,531.03
2013-12-20,517.28,533.77,515.86,533.14,861100,533.14
2013-12-19,517.00,521.23,514.00,514.58,321400,514.58
2013-12-18,510.05,517.00,506.44,516.89,327200,516.89
2013-12-17,515.79,518.00,509.35,512.64,288900,512.64
2013-12-16,514.70,517.36,511.45,515.38,374200,515.38
2013-12-13,518.51,520.99,511.28,512.85,349300,512.85
2013-12-12,516.32,522.54,514.62,515.02,281000,515.02
2013-12-11,523.31,523.94,516.33,517.57,252200,517.57
2013-12-10,525.92,525.92,520.24,521.53,229900,521.53
2013-12-09,525.71,529.99,525.01,527.32,278100,527.32
2013-12-06,521.00,526.25,519.59,525.81,212100,525.81
2013-12-05,518.20,525.00,517.11,521.01,229100,521.01
2013-12-04,520.55,522.63,516.01,518.11,321300,518.11
