Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,140.43,140.98,138.28,138.56,1533500,138.56
2013-12-31,140.00,141.39,139.96,140.97,762700,140.97
2013-12-30,139.81,140.49,139.30,139.93,714000,139.93
2013-12-27,140.43,140.43,139.29,139.83,616000,139.83
2013-12-26,139.48,140.22,139.14,139.85,625000,139.85
2013-12-24,138.99,139.84,138.13,139.40,407400,139.40
2013-12-23,138.76,139.50,138.16,138.66,1273300,138.66
2013-12-20,136.75,138.47,136.56,137.75,1831200,137.75
2013-12-19,137.13,138.00,136.28,137.20,2284000,137.20
2013-12-18,133.26,136.31,133.00,136.03,1515600,136.03
2013-12-17,132.86,133.89,132.67,133.25,1128000,133.25
2013-12-16,131.10,133.62,131.10,133.09,1647000,133.09
2013-12-13,130.26,130.47,129.35,130.01,860500,130.01
2013-12-12,130.33,131.01,129.05,129.54,1116400,129.54
2013-12-11,132.75,132.80,130.29,130.66,1121500,130.66
2013-12-10,131.43,133.48,131.25,132.86,1151500,132.86
2013-12-09,130.16,132.84,130.01,131.66,1253100,131.66
2013-12-06,131.39,131.72,130.17,130.48,1128700,130.48
2013-12-05,128.87,130.13,128.49,129.60,1100900,129.60
2013-12-04,129.50,130.14,127.81,129.02,1777200,129.02
