Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,26.80,26.80,26.21,26.30,2218200,26.30
2013-12-31,26.72,26.83,26.64,26.77,1598300,26.77
2013-12-30,26.67,26.84,26.57,26.72,1521900,26.72
2013-12-27,26.67,26.84,26.55,26.69,1201800,26.69
2013-12-26,26.82,26.82,26.59,26.66,988100,26.66
2013-12-24,26.75,26.92,26.62,26.79,763300,26.79
2013-12-23,27.09,27.09,26.78,26.81,1366500,26.81
2013-12-20,26.65,27.05,26.64,26.92,3201300,26.92
2013-12-19,26.71,26.71,26.39,26.67,2008300,26.67
2013-12-18,26.38,26.86,26.09,26.79,3739900,26.79
2013-12-17,26.38,26.50,26.23,26.45,2831400,26.45
2013-12-16,26.37,26.58,26.25,26.39,2102500,26.39
2013-12-13,26.12,26.31,26.08,26.21,2496900,26.21
2013-12-12,25.99,26.40,25.96,26.14,4334500,26.14
2013-12-11,26.16,26.25,25.90,25.97,2807400,25.97
2013-12-10,26.49,26.49,26.13,26.13,3293800,26.13
2013-12-09,26.50,26.61,26.29,26.49,2329500,26.49
2013-12-06,26.42,26.70,26.39,26.49,2886200,26.49
2013-12-05,26.51,26.59,26.23,26.27,2851700,26.27
2013-12-04,26.38,26.59,26.26,26.57,1951500,26.57
