Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,37.84,38.35,37.57,37.68,1171100,37.68
2013-12-31,37.83,38.10,37.68,38.04,1152400,38.04
2013-12-30,38.54,38.68,37.69,37.76,1259300,37.76
2013-12-27,37.90,38.53,37.74,38.39,2023600,38.39
2013-12-26,37.94,38.13,37.47,37.85,1285100,37.85
2013-12-24,37.50,38.16,37.46,37.86,841800,37.86
2013-12-23,38.13,38.45,37.05,37.51,2857700,37.51
2013-12-20,38.53,38.56,37.82,37.84,2414000,37.84
2013-12-19,37.48,38.59,37.35,38.40,2630300,38.40
2013-12-18,37.27,37.59,36.75,37.56,2175100,37.56
2013-12-17,37.16,37.51,36.63,37.43,1792200,37.43
2013-12-16,37.25,37.84,37.25,37.28,1862200,37.28
2013-12-13,36.88,37.25,36.65,37.18,1340700,37.18
2013-12-12,36.97,37.32,36.60,36.84,1517200,36.84
2013-12-11,37.80,38.00,36.84,36.97,2080600,36.97
2013-12-10,36.68,38.27,36.68,37.93,2978700,37.93
2013-12-09,36.59,37.34,36.55,37.10,2274900,37.10
2013-12-06,37.59,37.95,36.34,36.59,1659700,36.59
2013-12-05,36.75,37.60,36.52,37.28,2665300,37.28
2013-12-04,36.40,37.09,36.35,36.75,1787400,36.75
