Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,74.00,74.00,72.95,73.11,731200,73.11
2013-12-31,73.79,74.22,73.57,73.92,316800,73.92
2013-12-30,74.11,74.21,73.54,73.78,266400,73.78
2013-12-27,74.21,74.43,73.88,74.00,224800,74.00
2013-12-26,73.92,74.27,73.55,74.04,171300,74.04
2013-12-24,73.26,73.79,73.14,73.73,111300,73.73
2013-12-23,73.61,73.61,72.93,73.07,427700,73.07
2013-12-20,71.82,73.10,71.81,72.87,723200,72.87
2013-12-19,72.27,72.49,71.65,71.90,983200,71.90
2013-12-18,71.29,72.38,70.58,72.22,902600,72.22
2013-12-17,72.08,72.12,70.97,71.05,1108300,71.05
2013-12-16,71.67,72.29,71.67,71.86,885500,71.86
2013-12-13,71.39,71.54,71.15,71.31,512700,71.31
2013-12-12,71.64,71.84,71.01,71.26,572000,71.26
2013-12-11,72.87,72.87,71.48,71.58,565200,71.58
2013-12-10,73.05,73.47,72.68,72.89,393800,72.89
2013-12-09,73.45,73.83,73.04,73.40,596900,73.40
2013-12-06,72.90,73.58,72.79,73.50,415200,73.50
2013-12-05,72.55,72.96,72.22,72.41,604800,72.41
2013-12-04,72.20,72.87,71.81,72.66,834900,72.66
