Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,118.71,119.30,117.74,117.81,1618400,117.81
2013-12-31,119.19,119.71,118.71,119.02,1181700,119.02
2013-12-30,118.95,119.37,118.57,118.77,812800,118.77
2013-12-27,118.87,119.31,118.25,118.53,995100,118.53
2013-12-26,118.68,119.11,118.59,118.63,1169900,118.63
2013-12-24,118.69,118.85,118.18,118.69,612500,118.69
2013-12-23,119.10,119.13,118.13,118.69,1181600,118.69
2013-12-20,117.69,119.05,117.69,118.53,3007000,118.53
2013-12-19,117.84,118.44,117.25,117.99,2339400,117.99
2013-12-18,117.78,118.60,115.85,118.50,3167600,118.50
2013-12-17,118.17,118.36,117.02,117.55,1722800,117.55
2013-12-16,117.92,118.90,117.53,118.00,2069500,118.00
2013-12-13,119.01,119.05,117.41,117.91,1722600,117.91
2013-12-12,118.52,119.40,118.10,118.22,2023600,118.22
2013-12-11,118.10,120.30,116.97,118.57,6099400,118.57
2013-12-10,121.19,121.48,119.97,120.04,3163300,120.04
2013-12-09,122.82,122.84,121.38,121.66,2192500,121.66
2013-12-06,122.00,122.15,121.02,122.06,1734800,122.06
2013-12-05,121.50,122.35,120.50,120.95,3329000,120.95
2013-12-04,123.26,124.46,122.36,122.97,1644000,122.97
