Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,55.20,55.21,54.41,54.86,2730200,54.86
2013-12-31,55.14,55.55,54.86,55.19,3101700,55.19
2013-12-30,54.27,55.24,53.97,55.17,3743400,55.17
2013-12-27,54.90,54.94,54.33,54.45,1837300,54.45
2013-12-26,54.88,55.17,54.53,54.85,1985400,54.85
2013-12-24,54.48,54.97,54.45,54.80,1327500,54.80
2013-12-23,54.15,54.75,53.85,54.58,4289500,54.58
2013-12-20,53.18,54.21,53.16,53.72,5783700,53.72
2013-12-19,53.29,53.95,52.74,53.07,3597900,53.07
2013-12-18,52.39,53.41,51.72,53.36,5557300,53.36
2013-12-17,51.30,52.45,50.80,52.22,6232700,52.22
2013-12-16,50.72,51.23,50.12,51.16,6554600,51.16
2013-12-13,51.34,51.80,50.76,51.13,4452300,51.13
2013-12-12,51.22,51.62,50.29,50.98,5813800,50.98
2013-12-11,53.30,53.48,51.20,51.43,6996000,51.43
2013-12-10,53.98,54.54,53.66,53.72,3986400,53.72
2013-12-09,53.62,54.01,52.93,53.68,3173600,53.68
2013-12-06,53.68,54.15,53.23,53.88,4570100,53.88
2013-12-05,52.19,53.15,52.01,53.05,4855500,53.05
2013-12-04,51.40,52.62,51.35,52.27,4090700,52.27
