Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,55.80,56.05,55.48,55.59,846700,55.59
2013-12-31,56.00,56.20,55.77,55.88,485300,55.88
2013-12-30,55.69,55.98,55.54,55.83,381100,55.83
2013-12-27,55.80,55.91,55.33,55.63,465000,55.63
2013-12-26,55.41,55.71,55.29,55.55,474200,55.55
2013-12-24,54.79,55.56,54.79,55.53,328300,55.33
2013-12-23,54.90,55.38,54.81,54.92,939000,54.72
2013-12-20,54.48,54.87,53.61,54.84,1288700,54.64
2013-12-19,53.80,54.60,53.50,54.35,1334300,54.15
2013-12-18,53.37,53.53,52.21,53.45,1325100,53.26
2013-12-17,52.90,53.41,52.61,53.01,947200,52.82
2013-12-16,52.60,53.31,52.50,53.02,1001300,52.83
2013-12-13,52.55,52.85,52.06,52.32,974800,52.13
2013-12-12,52.64,52.64,52.13,52.35,695000,52.16
2013-12-11,53.30,53.48,52.83,52.91,779700,52.72
2013-12-10,53.17,54.07,53.14,53.25,1013900,53.06
2013-12-09,54.06,54.14,53.18,53.34,850600,53.15
2013-12-06,53.22,54.22,52.95,54.09,1117400,53.90
2013-12-05,53.50,53.58,52.74,52.99,960100,52.80
2013-12-04,52.46,53.85,52.46,53.61,1727800,53.42
