Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,63.04,63.19,61.97,62.49,1018400,62.49
2013-12-31,63.09,63.44,62.54,63.25,1108200,63.25
2013-12-30,61.61,63.03,61.38,62.94,1595000,62.94
2013-12-27,61.22,62.04,61.22,61.67,886700,61.67
2013-12-26,61.07,61.33,60.63,61.24,796400,61.24
2013-12-24,61.16,61.28,60.75,61.18,742000,61.18
2013-12-23,61.83,61.94,60.83,61.23,1590400,61.23
2013-12-20,59.40,61.79,59.24,61.73,3324000,61.73
2013-12-19,59.33,59.85,59.07,59.12,1481500,59.12
2013-12-18,58.00,59.26,57.83,59.23,2204100,59.23
2013-12-17,58.54,58.54,57.69,57.93,1351600,57.93
2013-12-16,58.33,58.93,57.90,58.71,1791400,58.71
2013-12-13,57.69,58.17,57.29,57.99,2134600,57.99
2013-12-12,57.77,57.81,56.90,57.38,2493900,57.38
2013-12-11,58.88,59.12,57.87,57.93,1318300,57.93
2013-12-10,59.22,59.33,58.54,58.96,1524600,58.96
2013-12-09,60.01,60.44,59.12,59.33,1890600,59.33
2013-12-06,59.40,60.38,59.07,60.03,1946400,60.03
2013-12-05,59.77,60.00,58.40,58.81,1925800,58.81
2013-12-04,57.55,60.53,57.55,60.00,2959200,60.00
