Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,17.84,17.86,16.94,17.22,4208400,17.22
2013-12-31,17.80,18.05,17.70,17.93,2307500,17.93
2013-12-30,17.77,17.78,17.46,17.76,1625700,17.76
2013-12-27,17.69,17.91,17.56,17.78,1567000,17.78
2013-12-26,17.62,17.75,17.45,17.72,1649100,17.72
2013-12-24,17.52,17.82,17.48,17.71,1269700,17.71
2013-12-23,17.35,17.63,17.33,17.56,2834800,17.56
2013-12-20,17.19,17.33,17.11,17.21,5112500,17.21
2013-12-19,16.60,17.18,16.58,17.16,4805900,17.16
2013-12-18,16.41,16.54,16.09,16.48,2226300,16.48
2013-12-17,16.42,16.52,16.18,16.41,1879800,16.41
2013-12-16,16.44,16.50,16.06,16.38,2972800,16.38
2013-12-13,16.04,16.56,16.03,16.30,3676900,16.30
2013-12-12,16.26,16.37,15.91,16.02,2322600,16.02
2013-12-11,16.60,16.61,16.09,16.22,2175800,16.22
2013-12-10,16.38,16.74,16.38,16.51,2476800,16.51
2013-12-09,16.04,16.40,15.96,16.36,2941200,16.36
2013-12-06,16.34,16.43,15.86,16.00,4945200,16.00
2013-12-05,16.26,16.31,16.07,16.21,2941900,16.21
2013-12-04,16.09,16.35,16.05,16.29,3277000,16.29
